StudentID,CourseCode
Std_ID_0069,CourseCode_018
Std_ID_0245,CourseCode_004
Std_ID_0234,CourseCode_011
Std_ID_0037,CourseCode_007
Std_ID_0071,CourseCode_007
Std_ID_0011,CourseCode_017
Std_ID_0084,CourseCode_009
Std_ID_0239,CourseCode_020
Std_ID_0198,CourseCode_003
Std_ID_0091,CourseCode_010
Std_ID_0230,CourseCode_020
Std_ID_0088,CourseCode_011
Std_ID_0085,CourseCode_020
Std_ID_0112,CourseCode_010
Std_ID_0075,CourseCode_011
Std_ID_0056,CourseCode_005
Std_ID_0188,CourseCode_007
Std_ID_0183,CourseCode_020
Std_ID_0204,CourseCode_020
Std_ID_0003,CourseCode_011
Std_ID_0144,CourseCode_010
Std_ID_0117,CourseCode_015
Std_ID_0158,CourseCode_010
Std_ID_0053,CourseCode_011
Std_ID_0108,CourseCode_011
Std_ID_0064,CourseCode_015
Std_ID_0055,CourseCode_014
Std_ID_0019,CourseCode_018
Std_ID_0182,CourseCode_004
Std_ID_0064,CourseCode_007
Std_ID_0190,CourseCode_004
Std_ID_0073,CourseCode_012
Std_ID_0110,CourseCode_018
Std_ID_0001,CourseCode_002
Std_ID_0110,CourseCode_012
Std_ID_0128,CourseCode_007
Std_ID_0213,CourseCode_002
Std_ID_0176,CourseCode_002
Std_ID_0250,CourseCode_011
Std_ID_0033,CourseCode_005
Std_ID_0144,CourseCode_018
Std_ID_0150,CourseCode_016
Std_ID_0114,CourseCode_008
Std_ID_0243,CourseCode_020
Std_ID_0090,CourseCode_019
Std_ID_0108,CourseCode_019
Std_ID_0101,CourseCode_014
Std_ID_0057,CourseCode_010
Std_ID_0126,CourseCode_019
Std_ID_0088,CourseCode_004
Std_ID_0095,CourseCode_017
Std_ID_0118,CourseCode_010
Std_ID_0027,CourseCode_008
Std_ID_0013,CourseCode_017
Std_ID_0129,CourseCode_020
Std_ID_0027,CourseCode_016
Std_ID_0232,CourseCode_016
Std_ID_0102,CourseCode_019
Std_ID_0168,CourseCode_015
Std_ID_0079,CourseCode_014
Std_ID_0050,CourseCode_008
Std_ID_0130,CourseCode_012
Std_ID_0154,CourseCode_019
Std_ID_0095,CourseCode_012
Std_ID_0236,CourseCode_018
Std_ID_0104,CourseCode_011
Std_ID_0188,CourseCode_015
Std_ID_0134,CourseCode_010
Std_ID_0167,CourseCode_017
Std_ID_0162,CourseCode_004
Std_ID_0230,CourseCode_009
Std_ID_0219,CourseCode_012
Std_ID_0170,CourseCode_014
Std_ID_0069,CourseCode_004
Std_ID_0249,CourseCode_011
Std_ID_0035,CourseCode_016
Std_ID_0104,CourseCode_009
Std_ID_0173,CourseCode_018
Std_ID_0115,CourseCode_020
Std_ID_0183,CourseCode_004
Std_ID_0062,CourseCode_020
Std_ID_0008,CourseCode_009
Std_ID_0006,CourseCode_001
Std_ID_0069,CourseCode_013
Std_ID_0141,CourseCode_011
Std_ID_0122,CourseCode_018
Std_ID_0198,CourseCode_005
Std_ID_0034,CourseCode_012
Std_ID_0186,CourseCode_001
Std_ID_0172,CourseCode_005
Std_ID_0175,CourseCode_015
Std_ID_0215,CourseCode_015
Std_ID_0183,CourseCode_013
Std_ID_0173,CourseCode_011
Std_ID_0067,CourseCode_013
Std_ID_0079,CourseCode_001
Std_ID_0239,CourseCode_018
Std_ID_0250,CourseCode_001
Std_ID_0062,CourseCode_018
Std_ID_0155,CourseCode_020
Std_ID_0240,CourseCode_015
Std_ID_0087,CourseCode_014
Std_ID_0106,CourseCode_009
Std_ID_0177,CourseCode_020
Std_ID_0115,CourseCode_001
Std_ID_0019,CourseCode_016
Std_ID_0092,CourseCode_008
Std_ID_0174,CourseCode_017
Std_ID_0159,CourseCode_013
Std_ID_0223,CourseCode_011
Std_ID_0016,CourseCode_002
Std_ID_0185,CourseCode_002
Std_ID_0107,CourseCode_020
Std_ID_0036,CourseCode_017
Std_ID_0184,CourseCode_003
Std_ID_0164,CourseCode_014
Std_ID_0200,CourseCode_020
Std_ID_0090,CourseCode_012
Std_ID_0204,CourseCode_017
Std_ID_0242,CourseCode_006
Std_ID_0078,CourseCode_008
Std_ID_0101,CourseCode_001
Std_ID_0205,CourseCode_015
Std_ID_0009,CourseCode_018
Std_ID_0114,CourseCode_017
Std_ID_0006,CourseCode_014
Std_ID_0128,CourseCode_017
Std_ID_0138,CourseCode_005
Std_ID_0147,CourseCode_016
Std_ID_0230,CourseCode_004
Std_ID_0035,CourseCode_002
Std_ID_0137,CourseCode_004
Std_ID_0189,CourseCode_015
Std_ID_0052,CourseCode_014
Std_ID_0117,CourseCode_007
Std_ID_0108,CourseCode_005
Std_ID_0223,CourseCode_009
Std_ID_0028,CourseCode_002
Std_ID_0022,CourseCode_001
Std_ID_0104,CourseCode_003
Std_ID_0029,CourseCode_009
Std_ID_0215,CourseCode_008
Std_ID_0161,CourseCode_020
Std_ID_0038,CourseCode_011
Std_ID_0027,CourseCode_004
Std_ID_0166,CourseCode_015
Std_ID_0097,CourseCode_001
Std_ID_0131,CourseCode_017
Std_ID_0232,CourseCode_008
Std_ID_0102,CourseCode_001
Std_ID_0027,CourseCode_020
Std_ID_0094,CourseCode_015
Std_ID_0157,CourseCode_005
Std_ID_0153,CourseCode_014
Std_ID_0137,CourseCode_014
Std_ID_0241,CourseCode_005
Std_ID_0162,CourseCode_017
Std_ID_0002,CourseCode_017
Std_ID_0026,CourseCode_013
Std_ID_0062,CourseCode_009
Std_ID_0154,CourseCode_015
Std_ID_0047,CourseCode_011
Std_ID_0203,CourseCode_013
Std_ID_0096,CourseCode_001
Std_ID_0140,CourseCode_004
Std_ID_0199,CourseCode_003
Std_ID_0231,CourseCode_005
Std_ID_0059,CourseCode_019
Std_ID_0244,CourseCode_012
Std_ID_0125,CourseCode_019
Std_ID_0137,CourseCode_005
Std_ID_0239,CourseCode_015
Std_ID_0053,CourseCode_001
Std_ID_0232,CourseCode_010
Std_ID_0188,CourseCode_020
Std_ID_0117,CourseCode_001
Std_ID_0185,CourseCode_010
Std_ID_0227,CourseCode_015
Std_ID_0189,CourseCode_010
Std_ID_0014,CourseCode_005
Std_ID_0121,CourseCode_015
Std_ID_0206,CourseCode_016
Std_ID_0246,CourseCode_009
Std_ID_0184,CourseCode_014
Std_ID_0161,CourseCode_003
Std_ID_0071,CourseCode_017
Std_ID_0210,CourseCode_013
Std_ID_0238,CourseCode_018
Std_ID_0030,CourseCode_011
Std_ID_0097,CourseCode_020
Std_ID_0114,CourseCode_012
Std_ID_0196,CourseCode_013
Std_ID_0122,CourseCode_011
Std_ID_0099,CourseCode_004
Std_ID_0233,CourseCode_002
Std_ID_0119,CourseCode_011
Std_ID_0145,CourseCode_007
Std_ID_0238,CourseCode_002
Std_ID_0065,CourseCode_008
Std_ID_0083,CourseCode_004
Std_ID_0250,CourseCode_020
Std_ID_0206,CourseCode_017
Std_ID_0140,CourseCode_012
Std_ID_0006,CourseCode_007
Std_ID_0138,CourseCode_015
Std_ID_0087,CourseCode_004
Std_ID_0235,CourseCode_013
Std_ID_0213,CourseCode_012
Std_ID_0229,CourseCode_001
Std_ID_0121,CourseCode_020
Std_ID_0210,CourseCode_004
Std_ID_0138,CourseCode_003
Std_ID_0137,CourseCode_002
Std_ID_0033,CourseCode_004
Std_ID_0107,CourseCode_017
Std_ID_0173,CourseCode_008
Std_ID_0183,CourseCode_005
Std_ID_0173,CourseCode_014
Std_ID_0176,CourseCode_001
Std_ID_0149,CourseCode_007
Std_ID_0001,CourseCode_011
Std_ID_0038,CourseCode_003
Std_ID_0205,CourseCode_013
Std_ID_0206,CourseCode_001
Std_ID_0032,CourseCode_007
Std_ID_0212,CourseCode_014
Std_ID_0210,CourseCode_011
Std_ID_0243,CourseCode_006
Std_ID_0015,CourseCode_013
Std_ID_0248,CourseCode_010
Std_ID_0193,CourseCode_005
Std_ID_0091,CourseCode_002
Std_ID_0103,CourseCode_011
Std_ID_0164,CourseCode_017
Std_ID_0136,CourseCode_008
Std_ID_0240,CourseCode_013
Std_ID_0061,CourseCode_003
Std_ID_0233,CourseCode_020
Std_ID_0164,CourseCode_001
Std_ID_0159,CourseCode_002
Std_ID_0044,CourseCode_013
Std_ID_0232,CourseCode_001
Std_ID_0244,CourseCode_014
Std_ID_0095,CourseCode_006
Std_ID_0250,CourseCode_014
Std_ID_0201,CourseCode_015
Std_ID_0033,CourseCode_001
Std_ID_0029,CourseCode_018
Std_ID_0068,CourseCode_006
Std_ID_0119,CourseCode_002
Std_ID_0019,CourseCode_001
Std_ID_0223,CourseCode_010
Std_ID_0150,CourseCode_005
Std_ID_0237,CourseCode_012
Std_ID_0072,CourseCode_009
Std_ID_0041,CourseCode_004
Std_ID_0093,CourseCode_020
Std_ID_0011,CourseCode_020
Std_ID_0247,CourseCode_007
Std_ID_0026,CourseCode_014
Std_ID_0083,CourseCode_003
Std_ID_0084,CourseCode_004
Std_ID_0161,CourseCode_015
Std_ID_0225,CourseCode_014
Std_ID_0156,CourseCode_005
Std_ID_0169,CourseCode_015
Std_ID_0148,CourseCode_005
Std_ID_0118,CourseCode_011
Std_ID_0095,CourseCode_007
Std_ID_0049,CourseCode_014
Std_ID_0023,CourseCode_014
Std_ID_0101,CourseCode_010
Std_ID_0049,CourseCode_010
Std_ID_0082,CourseCode_017
Std_ID_0132,CourseCode_001
Std_ID_0135,CourseCode_008
Std_ID_0120,CourseCode_008
Std_ID_0081,CourseCode_020
Std_ID_0105,CourseCode_009
Std_ID_0233,CourseCode_001
Std_ID_0236,CourseCode_004
Std_ID_0140,CourseCode_018
Std_ID_0017,CourseCode_014
Std_ID_0040,CourseCode_017
Std_ID_0219,CourseCode_010
Std_ID_0092,CourseCode_011
Std_ID_0202,CourseCode_017
Std_ID_0066,CourseCode_005
Std_ID_0122,CourseCode_010
Std_ID_0059,CourseCode_008
Std_ID_0174,CourseCode_003
Std_ID_0059,CourseCode_002
Std_ID_0044,CourseCode_014
Std_ID_0151,CourseCode_004
Std_ID_0107,CourseCode_006
Std_ID_0012,CourseCode_014
Std_ID_0222,CourseCode_001
Std_ID_0248,CourseCode_006
Std_ID_0213,CourseCode_006
Std_ID_0101,CourseCode_020
Std_ID_0088,CourseCode_001
Std_ID_0167,CourseCode_015
Std_ID_0069,CourseCode_017
Std_ID_0112,CourseCode_001
Std_ID_0186,CourseCode_004
Std_ID_0216,CourseCode_001
Std_ID_0113,CourseCode_011
Std_ID_0051,CourseCode_015
Std_ID_0106,CourseCode_015
Std_ID_0241,CourseCode_010
Std_ID_0052,CourseCode_004
Std_ID_0230,CourseCode_017
Std_ID_0177,CourseCode_005
Std_ID_0239,CourseCode_013
Std_ID_0236,CourseCode_014
Std_ID_0037,CourseCode_011
Std_ID_0064,CourseCode_017
Std_ID_0201,CourseCode_011
Std_ID_0027,CourseCode_001
Std_ID_0033,CourseCode_018
Std_ID_0163,CourseCode_012
Std_ID_0019,CourseCode_003
Std_ID_0013,CourseCode_018
