CourseCode,CourseName,DurationMinutes
CourseCode_001,Course 001,60
CourseCode_002,Course 002,120
CourseCode_003,Course 003,60
CourseCode_004,Course 004,150
CourseCode_005,Course 005,120
CourseCode_006,Course 006,60
CourseCode_007,Course 007,60
CourseCode_008,Course 008,150
CourseCode_009,Course 009,120
CourseCode_010,Course 010,120
CourseCode_011,Course 011,60
CourseCode_012,Course 012,90
CourseCode_013,Course 013,90
CourseCode_014,Course 014,120
CourseCode_015,Course 015,120
CourseCode_016,Course 016,90
CourseCode_017,Course 017,90
CourseCode_018,Course 018,60
CourseCode_019,Course 019,150
CourseCode_020,Course 020,60
