CourseCode,CourseName,DurationMinutes
CourseCode_01,Course 01,120
CourseCode_02,Course 02,120
CourseCode_03,Course 03,120
CourseCode_04,Course 04,120
CourseCode_05,Course 05,120
CourseCode_06,Course 06,120
CourseCode_07,Course 07,120
CourseCode_08,Course 08,120
CourseCode_09,Course 09,120
CourseCode_10,Course 10,120
CourseCode_11,Course 11,120
CourseCode_12,Course 12,120
CourseCode_13,Course 13,120
CourseCode_14,Course 14,120
CourseCode_15,Course 15,120
CourseCode_16,Course 16,120
CourseCode_17,Course 17,120
CourseCode_18,Course 18,120
CourseCode_19,Course 19,120
CourseCode_20,Course 20,120
